id,first_name,last_name,email,expense,price
1,Babb,Gatus,bgatus0@blogger.com,Textbooks,$2.89
2,Pegeen,Bransdon,pbransdon1@craigslist.org,Dental Check-up,$35.29
3,Steffie,Seczyk,sseczyk2@opensource.org,Public Transit Pass,$7.53
4,Wally,Issatt,wissatt3@newyorker.com,Home Repairs,$35.45
5,Graehme,Chown,gchown4@godaddy.com,Electricity Bill,$17.07
6,Mendy,Manklow,mmanklow5@shutterfly.com,Gasoline,$22.01
7,Dag,Iohananof,diohananof6@tripod.com,Stock Market Investment,$18.95
8,Glory,Jeacop,gjeacop7@cyberchimps.com,Bicycle Maintenance,$37.24
9,Daryl,Ashness,dashness8@sogou.com,Bicycle Maintenance,$6.14
10,Kleon,Swaite,kswaite9@ycombinator.com,Movie Tickets,$21.90
11,Jacki,Fattorini,jfattorinia@cbsnews.com,Movie Tickets,$10.97
12,Vivi,Coupman,vcoupmanb@ftc.gov,Life Insurance Premium,$9.19
13,Maximilien,Bettlestone,mbettlestonec@squidoo.com,Bicycle Maintenance,$16.55
14,Brittaney,Hacksby,bhacksbyd@yandex.ru,Gym Membership,$35.43
15,Solomon,Boyan,sboyane@mozilla.com,Public Transit Pass,$26.73
16,Geraldine,Crohan,gcrohanf@google.com.hk,Internet Service,$21.67
17,Mayor,Dellar,mdellarg@geocities.jp,Auto Insurance Renewal,$21.44
18,Patti,L'Hommeau,plhommeauh@cisco.com,Organic Snacks,$27.81
19,Pepe,Aupol,paupoli@businesswire.com,Gasoline,$18.78
20,Ewell,Pechell,epechellj@paypal.com,Fresh Produce,$11.86
21,Cordell,Harce,charcek@indiegogo.com,Textbooks,$35.32
22,Carleton,Russon,crussonl@w3.org,Internet Service,$28.74
23,Eugenie,Trevear,etrevearm@hatena.ne.jp,Auto Insurance Renewal,$10.22
24,Thornie,Lightowler,tlightowlern@usda.gov,Mortgage Payment,$16.38
25,Rafe,McIlhagga,rmcilhaggao@infoseek.co.jp,Public Transit Pass,$1.72
26,Gradeigh,Queyos,gqueyosp@github.com,Meat and Poultry,$22.05
27,Emlyn,Denes,edenesq@godaddy.com,Mortgage Payment,$19.90
28,Kamillah,Goater,kgoaterr@nytimes.com,Prescription Medication,$33.10
29,Ariella,Tinkler,atinklers@youku.com,Stock Market Investment,$3.72
30,Thoma,Trembley,ttrembleyt@reference.com,Prescription Medication,$31.67
31,Dalton,Osmon,dosmonu@smh.com.au,Gasoline,$6.75
32,Quinn,Warrior,qwarriorv@wikia.com,Meat and Poultry,$2.89
33,Cornie,Staddom,cstaddomw@mlb.com,Organic Snacks,$31.42
34,Chery,Hemerijk,chemerijkx@networksolutions.com,Auto Insurance Renewal,$28.29
35,Kirbie,Brailsford,kbrailsfordy@ow.ly,Online Course Subscription,$3.63
36,Cos,Manclark,cmanclarkz@weebly.com,Online Course Subscription,$31.99
37,Elane,Atheis,eatheis10@histats.com,Stock Market Investment,$2.37
38,Krysta,MacSharry,kmacsharry11@dell.com,Gym Membership,$26.25
39,Bart,Bedson,bbedson12@virginia.edu,Retirement Account Contribution,$7.12
40,Donny,Genny,dgenny13@flickr.com,Organic Snacks,$3.05
41,Greggory,Probbings,gprobbings14@salon.com,Stock Market Investment,$15.94
42,Granger,Henstridge,ghenstridge15@gizmodo.com,Online Course Subscription,$9.77
43,Hulda,Trowill,htrowill16@desdev.cn,Online Course Subscription,$25.31
44,Geri,Britee,gbritee17@yelp.com,Online Course Subscription,$38.83
45,Hortensia,Bamborough,hbamborough18@ifeng.com,Textbooks,$6.07
46,Ailyn,Lindfors,alindfors19@weather.com,Meat and Poultry,$5.66
47,Timoteo,Daspar,tdaspar1a@4shared.com,Life Insurance Premium,$4.59
48,Roderic,Rolance,rrolance1b@istockphoto.com,Mortgage Payment,$21.41
49,Haskell,Staunton,hstaunton1c@nsw.gov.au,Bicycle Maintenance,$9.31
50,Dusty,Chubb,dchubb1d@zimbio.com,Movie Tickets,$33.76
51,Marguerite,Arnatt,marnatt1e@cornell.edu,Meat and Poultry,$7.56
52,Casar,Millsom,cmillsom1f@linkedin.com,Dental Check-up,$12.60
